Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,174,0,5,5.470061936797531,3.888097000071866,69.37998599960338,2153.4885057471265,0.2902801567991084,0.0,5,5,5,5,5,5,6,68,69,69,69
GET,GET /health/ping,191,0,3,3.3853064293231494,2.4024829999689246,67.2280519997912,15.0,0.3186408617737339,0.0,3,3,3,3,3,4,4,4,67,67,67
POST,POST /alerts/add,727,0,8,8.190293734534869,5.048421000083181,146.53104699982578,170.80742778541952,1.212837206856045,0.0,8,8,8,8,8,9,11,25,150,150,150
,Aggregated,1092,0,7,6.916417445064416,2.4024829999689246,146.53104699982578,459.4771062271062,1.821758225428887,0.0,7,8,8,8,8,8,9,25,140,150,150
