Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,13263,0,4,4.807419442435953,2.4980060002235405,272.6290330001575,2151.972781422001,27.607212847307387,0.0,4,5,5,5,5,6,7,8,73,180,270
GET,GET /health/ping,5114,0,3,3.1182713277295084,1.607171000159724,143.28626399992572,15.0,10.644898326255747,0.0,3,3,3,3,3,4,4,5,63,140,140
POST,POST /alerts/add,2566,0,7,7.086935404127348,4.167305999999371,89.92832300009468,170.81878409976616,5.341182852008652,0.0,7,7,8,8,8,9,11,17,27,90,90
,Aggregated,20943,0,4,4.674245326936345,1.607171000159724,272.6290330001575,1387.4156520078309,43.59329402557179,0.0,4,5,5,5,6,7,8,9,72,180,270
