Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,2868,0,5,4.741260657239974,3.517709999869112,41.78414700072608,2151.445606694561,5.982350910255994,0.0,5,5,5,5,5,5,6,6,35,42,42
GET,GET /health/ping,957,0,3,3.042310034500606,2.3771160003889236,6.083614000090165,15.0,1.9962028664975544,0.0,3,3,3,3,3,4,4,4,6,6,6
GET,GET /health/ping (warmup),20,0,68,69.21669984994878,65.1001489995906,78.5896050001611,15.0,0.041717928244463,0.0,68,71,71,71,73,79,79,79,79,79,79
POST,POST /alerts/add,932,0,7,7.4062448186786405,4.525776999798836,42.186942000626004,171.843347639485,1.9440554561919758,0.0,7,8,8,8,8,8,9,11,42,42,42
,Aggregated,4777,0,5,5.190785102781828,2.3771160003889236,78.5896050001611,1328.2727653338916,9.964327161189987,0.0,5,5,5,6,7,8,8,9,71,79,79
