Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,28341,0,25,54.058081811431606,4.205233999527991,686.3625559999491,2154.442821354222,237.31172081388533,0.0,25,29,32,36,140,300,430,480,600,650,690
GET,GET /health/ping,11239,0,16,24.969267164196037,2.601488995424006,452.51091699901735,15.0,94.10911507100163,0.0,16,19,22,24,43,95,160,210,300,450,450
POST,POST /alerts/add,5776,0,28,70.46044854275787,5.66641799377976,746.3839199990616,170.80522853185596,48.365001214530245,0.0,28,34,40,46,240,390,490,540,660,750,750
,Aggregated,45356,0,22,48.938822670851465,2.601488995424006,746.3839199990616,1371.6866566716642,379.7858370994172,0.0,22,28,31,35,110,270,420,470,600,680,750
