Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,4267,0,5,8.9907300941797,3.078761998040136,3534.4879379990743,2154.8626669791424,8.899429350709804,0.0,5,5,5,5,6,6,7,8,1500,3500,3500
GET,GET /health/ping,1417,0,3,10.33378398379883,2.0409249991644174,2550.077515996236,15.0,2.9553530325652195,0.0,3,3,3,3,4,4,5,7,2500,2600,2600
POST,POST /alerts/add,1436,0,8,12.525201063336201,4.91011099802563,3538.019858999178,170.10793871866295,2.994980208019517,0.0,8,8,8,9,9,10,15,18,2500,3500,3500
,Aggregated,7120,0,5,9.970871621328442,2.0409249991644174,3538.019858999178,1328.697893258427,14.84976259129454,0.0,5,5,6,6,8,8,9,12,2500,3500,3500
