Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,5662,0,4,5.787122942770498,2.9722110002694535,200.31810300042707,2153.257859413635,18.860928532448476,0.0,4,5,5,5,5,5,6,29,190,200,200
GET,GET /health/ping,2238,0,3,3.4850191112646054,2.0357319999675383,191.07037100002344,15.0,7.45509679541146,0.0,3,3,3,3,3,3,4,5,160,190,190
POST,POST /alerts/add,1171,0,7,8.902095368911572,4.328222999902209,567.3664559999452,170.78223740392826,3.9007678049270864,0.0,7,7,7,8,8,8,14,95,320,570,570
,Aggregated,9071,0,4,5.621267396094389,2.0357319999675383,567.3664559999452,1369.7830448682614,30.21679313278702,0.0,4,5,5,5,6,7,8,18,190,570,570
