Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,11332,0,110,145.572922708877,15.038113999935376,811.1661479999839,2147.6949346981996,95.14784111092537,0.0,110,170,190,210,290,320,390,400,500,810,810
GET,GET /health/ping,4681,0,40,55.52053532236692,7.655853999949613,519.2218889999367,15.0,39.303480783642925,0.0,40,68,84,92,110,160,190,200,400,520,520
POST,POST /alerts/add,2257,0,190,204.14589956845234,22.812802000089505,815.0917289999597,170.7873283119185,18.950642197966694,0.0,190,220,270,290,330,400,460,480,790,820,820
,Aggregated,18270,0,100,129.73624966102773,7.655853999949613,815.0917289999597,1357.053147235906,153.401964092535,0.0,100,140,190,200,280,320,390,410,520,810,820
