Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,168,0,5,4.965508571287847,4.168289997323882,25.567205004335847,2157.6964285714284,0.28022336104912193,0.0,5,5,5,5,5,6,6,8,26,26,26
GET,GET /health/ping,168,0,3,3.4848311369863776,2.6912160028587095,66.1033580036019,15.0,0.28022336104912193,0.0,3,3,3,3,3,4,4,4,66,66,66
POST,POST /alerts/add,753,0,8,8.577450067762259,4.805971002497245,115.58869400323601,169.66932270916334,1.2560011361308858,0.0,8,8,8,8,9,11,20,33,120,120,120
,Aggregated,1089,0,7,7.23459777044541,2.6912160028587095,115.58869400323601,452.5013774104683,1.8164478582291295,0.0,7,8,8,8,8,9,18,26,85,120,120
