Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,13048,0,4,4.699361655344515,3.070161999858101,159.26026699889917,2151.275751072961,27.15711164806396,0.0,4,5,5,5,5,5,6,7,68,140,160
GET,GET /health/ping,5140,0,3,3.038549258757067,1.8040260001725983,75.85089200074435,15.0,10.69800382212207,0.0,3,3,3,3,3,3,4,4,71,76,76
POST,POST /alerts/add,2657,0,7,6.9221000259583345,4.308034000132466,150.2063910011202,171.78246142265712,5.530077073030805,0.0,7,7,7,8,8,8,9,12,36,150,150
,Aggregated,20845,0,4,4.57315585694017,1.8040260001725983,159.26026699889917,1372.1934276804989,43.38519254321684,0.0,4,5,5,5,6,7,8,8,68,140,160
