Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,2877,0,5,6.973518802911829,3.2684940001672658,1467.0194659997833,2155.3204727146335,6.000318649555047,0.0,5,5,5,5,5,6,6,7,1200,1500,1500
GET,GET /health/ping,963,0,3,4.074837518166829,2.2769260003769887,735.1049969997803,15.0,2.0084486824892283,0.0,3,3,3,3,3,4,4,6,740,740,740
GET,GET /health/ping (warmup),20,0,69,59.67360575002658,25.349360999825876,79.42174600020735,15.0,0.04171232985439727,0.0,69,70,70,71,73,79,79,79,79,79,79
POST,POST /alerts/add,928,0,8,11.46619829742102,4.693050000241783,1715.616190000219,170.89224137931035,1.9354521052440332,0.0,8,8,8,8,8,9,10,15,1700,1700,1700
,Aggregated,4788,0,5,7.481408993521163,2.2769260003769887,1715.616190000219,1331.2844611528822,9.985931767142706,0.0,5,5,5,6,8,8,8,11,1200,1700,1700
