Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,184,0,5,5.2037676679269085,3.9565949991811067,71.8830359983258,2150.929347826087,0.3068996173735885,0.0,5,5,5,5,5,5,6,6,72,72,72
GET,GET /health/ping,171,0,3,3.264748923479149,2.3531369952252135,24.99031399929663,15.0,0.2852164922330632,0.0,3,3,3,3,3,4,4,5,25,25,25
POST,POST /alerts/add,738,0,8,8.444174989129383,4.723006997664925,178.40142299974104,170.760162601626,1.2309343349005886,0.0,8,8,8,8,8,9,10,28,180,180,180
,Aggregated,1093,0,7,7.088349916551666,2.3531369952252135,178.40142299974104,479.7410795974382,1.8230504445072404,0.0,7,8,8,8,8,9,10,16,180,180,180
