Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,4325,0,5,4.939463928554172,3.2189399998969748,161.2223729998732,2151.4917919075147,9.020479391673012,0.0,5,5,5,5,5,5,6,7,75,160,160
GET,GET /health/ping,1404,0,3,3.1612856937395954,2.09608500063041,77.07234800000151,15.0,2.92826660483443,0.0,3,3,3,3,3,4,4,4,70,77,77
POST,POST /alerts/add,1407,0,7,7.722308036942453,4.574442999910389,162.92873700058408,169.94243070362472,2.93452358475929,0.0,7,8,8,8,8,9,16,19,89,160,160
,Aggregated,7136,0,5,5.138300730519229,2.09608500063041,162.92873700058408,1340.4387612107623,14.883269581266733,0.0,5,5,5,6,7,8,8,10,77,160,160
