Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,5701,0,4,6.554044458165632,2.703087000099913,455.0754270001107,2153.4195755130677,18.984647876426628,0.0,4,5,5,5,5,6,7,16,400,460,460
GET,GET /health/ping,2343,0,3,4.086482382413669,1.964864999990823,252.1381039998687,15.0,7.802320641022204,0.0,3,3,3,3,4,4,5,36,250,250,250
POST,POST /alerts/add,1128,0,7,8.812174829784128,4.234328999928039,456.1983539999801,170.88563829787233,3.7563028950375785,0.0,7,7,8,8,8,9,11,27,460,460,460
,Aggregated,9172,0,4,6.201413964892511,1.964864999990823,456.1983539999801,1363.3394025294374,30.543271412486412,0.0,4,5,5,5,7,8,9,30,390,460,460
