Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,13160,0,4,4.687071765097507,3.0121060044621117,86.99492600135272,2152.1048632218844,27.415358120489504,0.0,4,5,5,5,5,5,6,7,69,87,87
GET,GET /health/ping,5212,0,3,3.063131196260184,2.0111370031372644,129.6961670013843,15.0,10.857815085409673,0.0,3,3,3,3,3,3,4,4,72,130,130
POST,POST /alerts/add,2548,0,7,6.933674562686556,4.293338002753444,108.37101200013421,170.8131868131868,5.308079976520308,0.0,7,7,7,8,8,8,9,12,80,110,110
,Aggregated,20920,0,4,4.556114101783777,2.0111370031372644,129.6961670013843,1378.3514340344168,43.58125318241948,0.0,4,5,5,5,6,7,8,8,72,110,130
