Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,5683,0,6,15.417765559395928,3.8602119966526516,3504.4114739939687,2154.075312335034,18.920707839880905,0.0,6,6,6,7,7,9,25,250,1100,3500,3500
GET,GET /health/ping,2245,0,4,10.42752747268316,2.525081996282097,2999.0522529988084,15.0,7.474395407448993,0.0,4,4,4,4,5,5,9,52,2000,3000,3000
POST,POST /alerts/add,1121,0,9,20.504724767200997,5.118373999721371,2503.1760970014147,170.82872435325604,3.7322036756126153,0.0,9,9,10,10,11,17,37,470,1000,2500,2500
,Aggregated,9049,0,6,14.80989692941243,2.525081996282097,3504.4114739939687,1377.6974251298486,30.127306922942513,0.0,6,6,7,7,9,10,23,200,2000,3500,3500
