Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,5011,0,290,324.8245115623775,90.81426700140582,3744.555864999711,2150.8283775693476,42.05785660563635,0.0,290,310,400,480,600,710,880,900,3700,3700,3700
GET,GET /health/ping,2102,0,94,120.8493462863451,8.082925996859558,2642.237585998373,15.0,17.642309835371705,0.0,94,100,180,190,220,300,380,400,2600,2600,2600
POST,POST /alerts/add,1050,0,400,467.13407388471836,110.94967000099132,3938.5406080036773,170.77142857142857,8.812761811198996,0.0,400,500,590,600,790,890,1000,1100,3900,3900,3900
,Aggregated,8163,0,210,290.605381711617,8.082925996859558,3938.5406080036773,1346.1522724488545,68.51292825220705,0.0,210,300,390,410,590,710,880,910,3700,3900,3900
