Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,210,0,5,5.45655211906359,3.6693880001621437,77.0906540001306,2156.2,0.350461839128719,0.0,5,5,5,5,5,6,8,21,77,77,77
GET,GET /health/ping,161,0,3,3.2756632919123567,2.2533229994223802,70.23482599925046,15.0,0.26868740999868457,0.0,3,3,3,3,3,4,5,5,70,70,70
POST,POST /alerts/add,724,0,7,7.741754198927968,4.09047700031806,115.78936699970654,171.83011049723757,1.2082589120437741,0.0,7,8,8,8,8,9,11,18,120,120,120
,Aggregated,1095,0,7,6.646838150707846,2.2533229994223802,115.78936699970654,529.3351598173516,1.8274081611711777,0.0,7,7,7,8,8,8,10,20,84,120,120
