Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,2869,0,5,4.67799919590589,3.4112210050807334,36.2898059975123,2151.7804112931335,5.985396724249802,0.0,5,5,5,5,5,5,6,6,22,36,36
GET,GET /health/ping,966,0,3,2.9987961595673616,2.2339360002661124,6.38374499976635,15.0,2.0152991410335686,0.0,3,3,3,3,3,3,4,4,6,6,6
GET,GET /health/ping (warmup),20,0,73,62.03882315057854,21.385706000728533,81.91635000548558,15.0,0.04172461989717534,0.0,74,75,76,77,77,82,82,82,82,82,82
POST,POST /alerts/add,958,0,7,7.417514808915566,4.705478997493628,36.53750100056641,170.55114822546972,1.9986092930746986,0.0,7,8,8,8,8,9,11,15,37,37,37
,Aggregated,4813,0,5,5.124615091034439,2.2339360002661124,81.91635000548558,1319.6833575732392,10.041029778255245,0.0,5,5,5,6,7,8,8,10,76,82,82
