Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,4253,0,5,4.907330382163025,3.316681999422144,136.9918089985731,2155.929696684693,8.87084477611625,0.0,5,5,5,5,5,5,6,6,98,140,140
GET,GET /health/ping,1426,0,3,3.2509178169482964,2.1299119980540127,77.1712639980251,15.0,2.97432980266677,0.0,3,3,3,3,3,3,4,4,75,77,77
POST,POST /alerts/add,1461,0,7,7.799649859688263,4.6346230010385625,99.15160899981856,170.0609171800137,3.0473322873044535,0.0,7,8,8,8,8,9,17,20,98,99,99
,Aggregated,7140,0,5,5.16834360886725,2.1299119980540127,136.9918089985731,1321.9913165266107,14.892506866087473,0.0,5,5,5,6,7,8,8,15,91,140,140
