Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,48878,0,20,26.347211219813232,2.9613820006488822,899.026301000049,2155.53856540775,408.34667342837196,0.0,20,22,25,27,32,37,89,240,710,880,900
GET,GET /health/ping,19641,0,17,17.90605498956539,2.090596000016376,486.9365269996706,15.0,164.08889506130885,0.0,17,19,20,21,24,27,37,76,250,460,490
POST,POST /alerts/add,9821,0,24,32.552974385196414,4.232868000144663,1080.8849179993558,171.04205274411973,82.04862473382792,0.0,24,29,31,32,36,43,150,320,830,1100,1100
,Aggregated,78340,0,19,25.008866192099937,2.090596000016376,1080.8849179993558,1370.0897753382692,654.4841932235087,0.0,19,22,24,26,32,36,75,200,690,890,1100
