Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,4255,0,4,4.209138899140934,2.7253050029685255,102.62697599682724,2151.1325499412455,8.874771353630763,0.0,4,4,4,4,5,5,6,8,33,100,100
GET,GET /health/ping,1477,0,2,2.5049582952121967,1.6508949993294664,30.79218499988201,15.0,3.0806198094741806,0.0,2,3,3,3,3,3,3,4,8,31,31
POST,POST /alerts/add,1423,0,7,6.967718025312928,3.8365219988918398,111.59586299982038,163.96205200281096,2.9679905137994305,0.0,7,7,7,7,8,8,11,15,100,110,110
,Aggregated,7155,0,4,4.405977941005365,1.6508949993294664,111.59586299982038,1314.9604472396925,14.923381676904373,0.0,4,4,5,5,7,7,8,9,33,110,110
