Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,13073,6,5,5.740816043186847,1.459874001739081,2893.011612999544,2154.2707106249522,27.213189657908654,0.01248979866499288,5,5,5,5,6,6,7,9,72,2900,2900
GET,GET /health/ping,5197,4,3,5.455818686394998,1.423343004717026,2507.4915049990523,14.988454877814123,10.818247276994667,0.008326532443328587,3,3,3,3,4,4,4,5,80,2500,2500
POST,POST /alerts/add,2618,2,7,8.349533329969923,1.6951110010268167,2897.056583999074,170.65928189457603,5.44971548415856,0.004163266221664293,7,7,8,8,8,9,12,17,75,2900,2900
,Aggregated,20888,12,4,5.9968717016295345,1.423343004717026,2897.056583999074,1373.3943891229414,43.48115241906188,0.02497959732998576,4,5,5,5,7,7,8,11,74,2900,2900
