Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,5688,0,5,5.720939572962077,3.2430089995614253,239.63197899865918,2148.2366385372716,18.945202959767975,0.0,5,5,5,5,5,6,7,10,210,240,240
GET,GET /health/ping,2296,0,3,4.1003625870104585,2.1225590026006103,233.23935799999163,15.0,7.647360407107467,0.0,3,3,3,3,3,4,5,7,210,230,230
POST,POST /alerts/add,1166,0,7,8.890973726301162,4.605067995726131,239.81843500223476,170.88164665523155,3.8836333774770497,0.0,7,7,8,8,8,9,18,93,210,240,240
,Aggregated,9150,0,4,5.718252694606718,2.1225590026006103,239.81843500223476,1360.968087431694,30.47619674435249,0.0,4,5,5,5,6,7,8,18,210,240,240
