Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /coins/coins,2814,0,5,12.808213764032345,3.5839580013998784,2678.9829170011217,2152.490049751244,5.872150513203728,0.0,5,5,5,5,5,6,7,8,2100,2700,2700
GET,GET /health/ping,947,0,3,13.94554790511502,2.2462429988081567,2176.4784670012887,15.0,1.9761643695820648,0.0,3,3,3,3,3,4,4,190,2200,2200,2200
GET,GET /health/ping (warmup),20,0,720,1414.5908463015076,517.4393690031138,2719.56364599464,15.0,0.041735255957382575,0.0,1700,1700,2700,2700,2700,2700,2700,2700,2700,2700,2700
POST,POST /alerts/add,969,0,8,19.09195714773243,4.651865005143918,2986.6663989960216,170.80185758513932,2.0220731511351855,0.0,8,8,8,8,8,9,11,18,3000,3000,3000
,Aggregated,4750,0,5,20.21908858953975,2.2462429988081567,2986.6663989960216,1313.0776842105263,9.91212328987836,0.0,5,5,5,6,8,8,9,520,2700,3000,3000
